Designator,Mid X,Mid Y,Rotation,Layer
IC11,226.06,-120.396,0.0,top
IC12,185.4708,-193.5734,0.0,top
IC13,242.2398,-171.6278,0.0,top
IC14,210.3628,-145.3896,0.0,top
IC15,297.815,-188.7728,0.0,top
IC16,258.3942,-171.6278,0.0,top
IC17,297.7642,-77.0636,0.0,top
IC18,276.0168,-77.0636,0.0,top
IC19,297.815,-124.841,0.0,top
IC2,226.330933,-201.422,0.0,top
IC20,133.1214,-149.0218,0.0,top
IC21,242.189,-121.666,0.0,top
IC22,210.1188,-121.6102,0.0,top
IC23,226.314,-145.3642,0.0,top
IC24,116.8654,-180.8734,0.0,top
IC25,133.1822,-125.74,0.0,top
IC26,136.8806,-193.5734,0.0,top
IC27,242.2652,-145.3896,0.0,top
IC28,258.3688,-145.3134,0.0,top
IC29,226.4256,-175.4632,0.0,top
IC3,242.375266,-201.422,0.0,top
IC30,210.1596,-175.4632,0.0,top
IC31,278.9682,-229.0318,0.0,top
IC32,189.2554,-144.145,0.0,top
IC33,301.8028,-227.8126,0.0,top
IC34,163.7384,-148.986,0.0,top
IC35,161.1757,-193.5734,0.0,top
IC4,258.4196,-201.422,0.0,top
IC44,258.3688,-121.7168,0.0,top
IC5,210.312,-227.7872,0.0,top
IC6,226.356333,-227.7872,0.0,top
IC7,242.400666,-227.7872,0.0,top
IC8,258.445,-227.7872,0.0,top
L1,113.9082,-71.12,0.0,top
L2,117.9322,-104.6734,180.0,top
L4,223.3676,-79.2734,0.0,top
L5,223.398,-89.535,180.0,top
L6,252.3368,-59.119,0.0,top
L7,238.0018,-59.1058,0.0,top
L99,228.1174,-101.8286,180.0,top
LK2,270.1036,-223.901,180.0,top
PL1,148.0058,-240.8174,90.0,top
PL2,97.1296,-180.8856,180.0,top
PL3,96.3754,-122.856,0.0,top
PL4,95.1254,-102.8408,0.0,top
PL5,96.3754,-82.8256,0.0,top
PL6,177.0984,-55.0672,180.0,top
PL7,326.1402,-112.9284,0.0,top
R1,109.6264,-64.7954,180.0,top
R100,247.3452,-67.183,0.0,top
R12,277.3172,-207.7466,0.0,top
R13,277.4696,-100.9904,0.0,top
R14,277.4696,-103.5304,180.0,top
R16,147.7518,-121.7676,0.0,top
R19,277.2918,-182.515933,0.0,top
R20,277.2918,-186.241266,0.0,top
R21,277.2664,-178.7906,0.0,top
R22,277.3172,-189.9666,0.0,top
R23,277.3172,-200.1266,0.0,top
R24,277.3172,-202.6666,0.0,top
R25,277.3172,-205.2066,0.0,top
R26,277.3172,-195.0466,0.0,top
R27,277.3172,-197.5866,0.0,top
R28,277.3172,-192.5066,0.0,top
R29,147.7518,-119.2276,180.0,top
R30,147.7518,-131.953,0.0,top
R31,147.7518,-126.8476,180.0,top
R32,118.7704,-74.7014,0.0,top
R33,188.341,-122.555,0.0,top
R34,188.341,-125.1204,180.0,top
R35,188.341,-118.999,180.0,top
R36,133.5532,-51.6636,0.0,top
R37,314.8838,-182.2704,0.0,top
R38,116.7892,-156.9466,180.0,top
R39,277.3172,-210.2866,0.0,top
R40,277.4696,-108.6104,180.0,top
R41,277.4696,-106.0704,180.0,top
R42,147.7264,-155.448,0.0,top
R43,147.7264,-157.988,0.0,top
R45,116.7638,-119.38,0.0,top
R46,116.7638,-111.7854,0.0,top
R47,116.7638,-114.3254,180.0,top
R48,116.7638,-132.08,0.0,top
R49,116.7638,-121.92,0.0,top
R50,116.7638,-127.0,180.0,top
R51,116.7638,-129.54,180.0,top
R52,116.7638,-124.46,180.0,top
R53,116.7638,-137.16,0.0,top
R54,116.7638,-134.62,0.0,top
R55,116.7638,-139.7,0.0,top
R56,147.7264,-152.908,0.0,top
R57,147.7518,-137.033,0.0,top
R58,147.7518,-147.193,0.0,top
R59,147.7518,-142.113,0.0,top
R60,147.7518,-139.573,0.0,top
R61,147.7518,-144.653,0.0,top
R62,147.7518,-149.733,0.0,top
R63,277.4696,-95.9612,0.0,top
R64,147.7518,-134.493,0.0,top
R72,147.7264,-160.528,0.0,top
R75,163.7538,-91.059,0.0,top
R76,163.7538,-85.979,0.0,top
R77,221.8944,-75.4888,180.0,top
R78,221.8944,-85.725,0.0,top
R79,221.8944,-83.185,0.0,top
R80,221.8944,-72.7456,0.0,top
R81,221.869,-67.2592,0.0,top
R82,221.8944,-70.0024,0.0,top
R83,163.7284,-69.723,0.0,top
R84,163.7538,-67.1576,0.0,top
R85,163.7538,-88.519,0.0,top
R86,221.8944,-95.9358,180.0,top
R87,163.7284,-80.4164,0.0,top
R88,163.7284,-72.263,0.0,top
R89,163.7538,-74.803,0.0,top
R90,221.8944,-93.3958,0.0,top
R91,247.3452,-88.646,0.0,top
R92,247.3452,-83.566,0.0,top
R93,247.3452,-69.723,0.0,top
R94,247.3452,-96.266,0.0,top
R95,247.3452,-75.438,180.0,top
R96,247.3452,-86.106,0.0,top
R97,247.3452,-93.726,0.0,top
R98,247.3452,-77.978,0.0,top
R99,247.3452,-91.186,180.0,top
RL1,120.283685,-88.527119,180.0,top
SW1,108.6998,-54.5112,90.0,top
TR1,108.564,-76.0222,90.0,top
TR2,204.4954,-76.7588,90.0,top
TR3,204.5208,-68.5292,90.0,top
TR4,152.0444,-91.694,180.0,top
VR1,225.5266,-61.361,270.0,top
XL2,313.6276,-185.0136,0.0,top
